D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,8,512,4096,full_unit_dropout,dropout,0.03643235,0.0026078671,0.032048292,0.0011214227,0.008520896,0.001825741
10,8,512,4096,stochastic_depth,dropout,0.32370096,0.061796404,0.31863862,0.053328466,0.10060419,0.025333703
10,8,512,4096,single_source_M,dropout,0.04159413,0.0028425597,0.036938958,0.0027626064,0.0064432053,0.0017628173
10,8,1024,8192,full_unit_dropout,dropout,0.024869476,0.0030111324,0.021678451,0.0028850683,0.0048754895,0.0019023841
10,8,1024,8192,stochastic_depth,dropout,0.3227105,0.067307174,0.3174221,0.0559797,0.10035348,0.026285933
10,8,1024,8192,single_source_M,dropout,0.031604134,0.005238963,0.027550478,0.0036463358,0.005669187,0.0024389103
10,16,4,64,full_unit_dropout,dropout,0.5737369,0.035830725,0.53152764,0.05592338,0.097451955,0.017343333
10,16,4,64,stochastic_depth,dropout,0.55533755,0.027518779,0.5042859,0.048815522,0.10007088,0.011730924
10,16,4,64,single_source_M,dropout,0.66026765,0.0643253,0.6439885,0.10030147,0.15497509,0.05402617
10,16,8,128,full_unit_dropout,dropout,0.33342648,0.031872705,0.29341274,0.018688658,0.05628078,0.0146061955
10,16,8,128,stochastic_depth,dropout,0.41553116,0.046125084,0.36593753,0.058235854,0.0936424,0.014341547
10,16,8,128,single_source_M,dropout,0.42738825,0.02116701,0.44237185,0.05349294,0.097428374,0.030160831
10,16,16,256,full_unit_dropout,dropout,0.19665031,0.025166273,0.16472296,0.025067285,0.050953746,0.016425652
10,16,16,256,stochastic_depth,dropout,0.30773723,0.052515276,0.2502132,0.055546504,0.090345085,0.018822905
10,16,16,256,single_source_M,dropout,0.27059394,0.017199676,0.24755318,0.01917704,0.060688145,0.02544039
10,16,32,512,full_unit_dropout,dropout,0.12765566,0.018651038,0.112132445,0.020231599,0.028835818,0.012093564
10,16,32,512,stochastic_depth,dropout,0.2442425,0.050563414,0.21487924,0.063997425,0.08128342,0.023097062
10,16,32,512,single_source_M,dropout,0.17983522,0.025838986,0.17395863,0.02655164,0.04984766,0.01855497
10,16,64,1024,full_unit_dropout,dropout,0.07811155,0.013410226,0.06479647,0.007851444,0.01711707,0.0065399692
10,16,64,1024,stochastic_depth,dropout,0.21790612,0.037695125,0.20153709,0.051586717,0.069779076,0.01955957
10,16,64,1024,single_source_M,dropout,0.108934164,0.009921956,0.09078968,0.011256428,0.030458856,0.008767606
10,16,128,2048,full_unit_dropout,dropout,0.066935554,0.009983392,0.05213687,0.0069900113,0.014392721,0.004919167
10,16,128,2048,stochastic_depth,dropout,0.22978778,0.0407346,0.20816772,0.057117548,0.062630154,0.017195258
10,16,128,2048,single_source_M,dropout,0.08005871,0.014188609,0.06620436,0.0104678,0.014108981,0.002426103
10,16,256,4096,full_unit_dropout,dropout,0.041229885,0.0042854357,0.033723168,0.002263457,0.0062348587,0.0015422009
10,16,256,4096,stochastic_depth,dropout,0.23215601,0.052671023,0.21001229,0.06388774,0.0685127,0.020026201
10,16,256,4096,single_source_M,dropout,0.0636491,0.010878673,0.051482886,0.007726258,0.010872467,0.005227313
10,16,512,8192,full_unit_dropout,dropout,0.03099987,0.0034295984,0.024873104,0.0008082559,0.0070723593,0.0023895716
10,16,512,8192,stochastic_depth,dropout,0.23176703,0.05113341,0.207792,0.06289456,0.06509512,0.01862995
10,16,512,8192,single_source_M,dropout,0.047455378,0.006467078,0.038651273,0.006442465,0.007512243,0.00472892
10,16,1024,16384,full_unit_dropout,dropout,0.018495118,0.0013291704,0.015546578,0.00079384557,0.0035350628,0.0013113918
10,16,1024,16384,stochastic_depth,dropout,0.22249773,0.053469248,0.20192464,0.06220676,0.06707929,0.019826988
10,16,1024,16384,single_source_M,dropout,0.03016772,0.007062717,0.026089769,0.0054789884,0.0061569246,0.0044515487
10,32,4,128,full_unit_dropout,dropout,0.63112104,0.05647479,0.72875655,0.052721977,0.114576675,0.01901664
10,32,4,128,stochastic_depth,dropout,0.61226875,0.04249671,0.7001585,0.054185327,0.11446752,0.008661338
10,32,4,128,single_source_M,dropout,0.67399263,0.06148598,0.74604213,0.0906397,0.17002985,0.044347577
10,32,8,256,full_unit_dropout,dropout,0.27031213,0.00570069,0.26990455,0.022709366,0.05663379,0.0123227015
10,32,8,256,stochastic_depth,dropout,0.3151072,0.03187187,0.31497622,0.039124824,0.08394999,0.014288043
10,32,8,256,single_source_M,dropout,0.3517793,0.028725041,0.36547405,0.041387748,0.09953052,0.03328345
10,32,16,512,full_unit_dropout,dropout,0.12519169,0.013582237,0.120626256,0.016894542,0.029045278,0.005865472
10,32,16,512,stochastic_depth,dropout,0.20586105,0.021959161,0.19419935,0.024085863,0.0686479,0.016420433
10,32,16,512,single_source_M,dropout,0.20057254,0.017380893,0.19382396,0.015095444,0.047983512,0.018645618
10,32,32,1024,full_unit_dropout,dropout,0.11432006,0.012181339,0.09690479,0.011252238,0.020803863,0.008630613
10,32,32,1024,stochastic_depth,dropout,0.18987162,0.025097772,0.1710993,0.038966082,0.053255487,0.020799242
10,32,32,1024,single_source_M,dropout,0.19446215,0.04160735,0.17476383,0.030517891,0.061816595,0.027202448
10,32,64,2048,full_unit_dropout,dropout,0.057415552,0.007472849,0.046100996,0.0032982265,0.011922492,0.004276355
10,32,64,2048,stochastic_depth,dropout,0.18289892,0.017289305,0.1636549,0.025607906,0.05392288,0.0125063555
10,32,64,2048,single_source_M,dropout,0.11621924,0.012836419,0.09887421,0.013503077,0.030746749,0.00997913
10,32,128,4096,full_unit_dropout,dropout,0.056875624,0.009784854,0.043307465,0.0048997817,0.0123592,0.0037838898
10,32,128,4096,stochastic_depth,dropout,0.18844049,0.025337357,0.1614233,0.031727213,0.051111184,0.016743604
10,32,128,4096,single_source_M,dropout,0.08734829,0.018089915,0.07116416,0.01566772,0.016829662,0.0041680364
10,32,256,8192,full_unit_dropout,dropout,0.03477626,0.004118943,0.028057987,0.0031129173,0.0050430675,0.0012568765
10,32,256,8192,stochastic_depth,dropout,0.18517467,0.025678132,0.16494913,0.032864805,0.05439074,0.018542085
10,32,256,8192,single_source_M,dropout,0.06977294,0.011662826,0.05313269,0.00558605,0.012601008,0.004329868
10,32,512,16384,full_unit_dropout,dropout,0.024896335,0.0034670283,0.019274365,0.0018541005,0.005699356,0.0026587634
10,32,512,16384,stochastic_depth,dropout,0.17731445,0.025224825,0.15741178,0.032810207,0.052316435,0.016761139
10,32,512,16384,single_source_M,dropout,0.047018964,0.0082445955,0.037661232,0.007279205,0.00829969,0.006118211
10,32,1024,32768,full_unit_dropout,dropout,0.01397071,0.0010105815,0.011777488,0.0006312977,0.0027067116,0.00096998975
10,32,1024,32768,stochastic_depth,dropout,0.1774245,0.027888421,0.15825987,0.0343385,0.05211877,0.018469661
10,32,1024,32768,single_source_M,dropout,0.031015689,0.009337153,0.026544947,0.0072281826,0.0064954273,0.0055337683
10,64,4,256,full_unit_dropout,dropout,0.63100207,0.04934983,0.7287328,0.04846601,0.11201899,0.0070519685
10,64,4,256,stochastic_depth,dropout,0.62823933,0.035800632,0.72350574,0.056492653,0.12193067,0.036185034
10,64,4,256,single_source_M,dropout,0.63944894,0.08530423,0.6962244,0.100519925,0.16221234,0.051029146
10,64,8,512,full_unit_dropout,dropout,0.22860809,0.027869672,0.24288806,0.037090167,0.052972782,0.011099449
10,64,8,512,stochastic_depth,dropout,0.2594779,0.056133118,0.27045435,0.04686999,0.07528098,0.021945987
10,64,8,512,single_source_M,dropout,0.28850085,0.016904462,0.30870643,0.026631573,0.07979135,0.029852824
10,64,16,1024,full_unit_dropout,dropout,0.11667879,0.0066377027,0.1165879,0.013386515,0.02441467,0.00844673
10,64,16,1024,stochastic_depth,dropout,0.15982577,0.017573398,0.15693049,0.013831741,0.045123953,0.010183893
10,64,16,1024,single_source_M,dropout,0.21036124,0.038175814,0.19403474,0.020980908,0.044637375,0.016874878
10,64,32,2048,full_unit_dropout,dropout,0.09772179,0.010965509,0.081570186,0.008887632,0.017950619,0.0067637335
10,64,32,2048,stochastic_depth,dropout,0.15025766,0.024533184,0.12876227,0.022378055,0.041262064,0.019584928
10,64,32,2048,single_source_M,dropout,0.19564414,0.03522934,0.17047508,0.025057621,0.057534695,0.019458525
10,64,64,4096,full_unit_dropout,dropout,0.04451496,0.003397636,0.036162443,0.0025432727,0.00862796,0.002639816
10,64,64,4096,stochastic_depth,dropout,0.14154059,0.021847079,0.121207096,0.026583811,0.043346893,0.022074113
10,64,64,4096,single_source_M,dropout,0.12888297,0.014155785,0.10777259,0.012115961,0.03560833,0.01375537
10,64,128,8192,full_unit_dropout,dropout,0.046050686,0.014403268,0.033053987,0.0070189736,0.0086423755,0.003793278
10,64,128,8192,stochastic_depth,dropout,0.1398684,0.025553843,0.1156232,0.024305359,0.038555164,0.018223725
10,64,128,8192,single_source_M,dropout,0.08901533,0.0155642,0.07254793,0.014180656,0.01744453,0.004714557
10,64,256,16384,full_unit_dropout,dropout,0.02403304,0.0036497975,0.019348474,0.0023199257,0.0033914004,0.0010235283
10,64,256,16384,stochastic_depth,dropout,0.13134529,0.029202128,0.11002469,0.028492091,0.036980774,0.017881854
10,64,256,16384,single_source_M,dropout,0.065812826,0.0072797234,0.050009917,0.005372652,0.013154258,0.0042196843
10,64,512,32768,full_unit_dropout,dropout,0.019526612,0.0032807097,0.01512185,0.0018371383,0.004192717,0.0018658099
10,64,512,32768,stochastic_depth,dropout,0.13138413,0.025593774,0.10987078,0.026079807,0.036152594,0.017858932
10,64,512,32768,single_source_M,dropout,0.049154054,0.0072694994,0.038496487,0.0056443997,0.009169218,0.0059276046
10,64,1024,65536,full_unit_dropout,dropout,0.010410038,0.0009150775,0.008632685,0.00071900856,0.0021700428,0.0010720222
10,64,1024,65536,stochastic_depth,dropout,0.1293537,0.03168704,0.107568264,0.028106388,0.034522973,0.016511003
10,64,1024,65536,single_source_M,dropout,0.031001205,0.0097549455,0.026370555,0.007473234,0.0065943263,0.005223747
10,128,4,512,full_unit_dropout,dropout,0.62478536,0.038152628,0.70981264,0.03462643,0.11937895,0.005842185
10,128,4,512,stochastic_depth,dropout,0.6177182,0.039127752,0.7026145,0.041463677,0.13188225,0.042911593
10,128,4,512,single_source_M,dropout,0.636485,0.11604073,0.68963796,0.11497388,0.16846733,0.059705663
10,128,8,1024,full_unit_dropout,dropout,0.23516855,0.03185017,0.25160614,0.0356122,0.047564812,0.014173104
10,128,8,1024,stochastic_depth,dropout,0.24999952,0.042919468,0.25188574,0.034222055,0.06326124,0.030988412
10,128,8,1024,single_source_M,dropout,0.3135684,0.028501041,0.32333735,0.029418293,0.082200274,0.02857412
10,128,16,2048,full_unit_dropout,dropout,0.10863856,0.010645581,0.1095289,0.008574727,0.018621918,0.00605673
10,128,16,2048,stochastic_depth,dropout,0.12867089,0.0049733487,0.12580307,0.011910906,0.032184236,0.0028377152
10,128,16,2048,single_source_M,dropout,0.22136894,0.03852339,0.20070037,0.020574035,0.04663875,0.019608125
10,128,32,4096,full_unit_dropout,dropout,0.083918825,0.011552829,0.07307619,0.006221566,0.014494523,0.005354022
10,128,32,4096,stochastic_depth,dropout,0.11753033,0.012572885,0.10291807,0.012098343,0.03460402,0.010107834
10,128,32,4096,single_source_M,dropout,0.19830252,0.03545307,0.17205101,0.02696519,0.057306398,0.017924426
10,128,64,8192,full_unit_dropout,dropout,0.033328358,0.00682464,0.027338315,0.0042482815,0.0055389344,0.0019523809
10,128,64,8192,stochastic_depth,dropout,0.10387726,0.015348024,0.08412145,0.014448153,0.033626292,0.014429674
10,128,64,8192,single_source_M,dropout,0.12612687,0.013747096,0.1065781,0.013807186,0.03661513,0.012309069
10,128,128,16384,full_unit_dropout,dropout,0.036348123,0.014310626,0.026813,0.006849719,0.005990953,0.0022375241
10,128,128,16384,stochastic_depth,dropout,0.101790465,0.028319184,0.08109908,0.017390443,0.03047197,0.009782354
10,128,128,16384,single_source_M,dropout,0.08533707,0.014854526,0.07076831,0.01489121,0.018535022,0.0063003474
10,128,256,32768,full_unit_dropout,dropout,0.016095793,0.0026478814,0.013495175,0.0018110316,0.0029182476,0.0011817338
10,128,256,32768,stochastic_depth,dropout,0.09704367,0.023184368,0.07846373,0.016442254,0.029197788,0.009222928
10,128,256,32768,single_source_M,dropout,0.06628887,0.0073656575,0.05003943,0.0053327587,0.012965503,0.0044662976
10,128,512,65536,full_unit_dropout,dropout,0.015025762,0.0016561793,0.011782432,0.0014653049,0.0033584114,0.001390832
10,128,512,65536,stochastic_depth,dropout,0.09584185,0.022515938,0.07681354,0.016026678,0.028770814,0.009440119
10,128,512,65536,single_source_M,dropout,0.04809292,0.0076280455,0.038188994,0.005930774,0.009383616,0.0061527863
10,128,1024,131072,full_unit_dropout,dropout,0.0088332575,0.0011814658,0.006998086,0.00063378917,0.0017966578,0.00046823832
10,128,1024,131072,stochastic_depth,dropout,0.098084435,0.02548571,0.078315124,0.017514406,0.02912069,0.009712864
