D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,8,32,stochastic_depth,dropout,23,0.017039562,0.0053091925,0.0677598,0.04927374
10,4,8,32,stochastic_depth,dropout,24,0.020513367,0.005667915,0.057670426,0.03341199
10,4,8,32,stochastic_depth,dropout,25,0.022545386,0.005534121,0.107931234,0.067281835
10,4,8,32,stochastic_depth,dropout,26,0.026628017,0.005727596,0.09206633,0.0345824
10,4,8,32,stochastic_depth,dropout,27,0.031025136,0.00584957,0.07260474,0.029522786
10,4,8,32,stochastic_depth,dropout,28,0.037024356,0.0071980176,0.0961755,0.021832867
10,4,8,32,stochastic_depth,dropout,29,0.040908385,0.008609179,0.11839435,0.053899802
10,4,8,32,stochastic_depth,dropout,30,0.04430107,0.009982771,0.12191898,0.07553147
10,4,8,32,stochastic_depth,dropout,31,0.048815627,0.011156603,0.09925933,0.07707575
10,4,8,32,stochastic_depth,dropout,32,0.05608955,0.010852858,0.0377701,0.04435083
10,4,8,32,stochastic_depth,dropout,33,0.06112401,0.010603759,0.041396033,0.06137128
10,4,8,32,stochastic_depth,dropout,34,0.066191815,0.010078838,0.03975152,0.042319007
10,4,8,32,stochastic_depth,dropout,35,0.07204953,0.008547725,0.10440868,0.07144937
10,4,8,32,stochastic_depth,dropout,36,0.07648159,0.008847512,0.02584582,0.023686163
10,4,8,32,stochastic_depth,dropout,37,0.07922625,0.0074274573,0.11611569,0.11212975
10,4,8,32,stochastic_depth,dropout,38,0.081261106,0.005642807,0.137166,0.07638052
10,4,8,32,stochastic_depth,dropout,39,0.083860815,0.0083027,0.09240066,0.08372384
10,4,8,32,stochastic_depth,dropout,40,0.08404222,0.009810639,0.19003221,0.1126673
10,4,8,32,stochastic_depth,dropout,41,0.085047655,0.011119639,0.0990928,0.10026431
10,4,8,32,stochastic_depth,dropout,42,0.08495926,0.0127741415,0.1287561,0.07087015
10,4,8,32,stochastic_depth,dropout,43,0.077702805,0.01401468,0.072788194,0.07090938
10,4,8,32,stochastic_depth,dropout,44,0.08024271,0.014534301,0.10083282,0.11619027
10,4,8,32,stochastic_depth,dropout,45,0.0744078,0.015798112,0.17677394,0.11910242
10,4,8,32,stochastic_depth,dropout,46,0.068955876,0.020690426,0.040272303,0.04146921
10,4,8,32,stochastic_depth,dropout,47,0.072270945,0.019348308,0.19839364,0.116915956
10,4,8,32,stochastic_depth,dropout,48,0.066380545,0.018046211,0.048970502,0.039303645
10,4,8,32,stochastic_depth,dropout,49,0.06440798,0.01723021,0.05199515,0.05834946
10,4,8,32,single_source_M,dropout,0,0.0003290534,0.00025968178,0.013239538,0.012709484
10,4,8,32,single_source_M,dropout,1,0.00036956073,0.00016434393,0.00803709,0.003036754
10,4,8,32,single_source_M,dropout,2,0.00034087896,0.00029172542,0.0071118,0.006083401
10,4,8,32,single_source_M,dropout,3,0.0011082888,0.00076411595,0.011704147,0.008008021
10,4,8,32,single_source_M,dropout,4,0.0010212541,0.0008273095,0.007966673,0.004023611
10,4,8,32,single_source_M,dropout,5,0.001176989,0.0007486676,0.016206574,0.007285528
10,4,8,32,single_source_M,dropout,6,0.0016007066,0.0005143068,0.01266818,0.007373845
10,4,8,32,single_source_M,dropout,7,0.0024011969,0.001004197,0.0077806236,0.0033512856
10,4,8,32,single_source_M,dropout,8,0.0027605295,0.0011327782,0.02256453,0.009054657
10,4,8,32,single_source_M,dropout,9,0.0027669906,0.0010730844,0.018995022,0.017902505
10,4,8,32,single_source_M,dropout,10,0.003092718,0.0012286542,0.01546514,0.011008514
10,4,8,32,single_source_M,dropout,11,0.003437555,0.0013928049,0.017934024,0.012172635
10,4,8,32,single_source_M,dropout,12,0.003949678,0.0015495063,0.01950935,0.01843527
10,4,8,32,single_source_M,dropout,13,0.00458436,0.0019616429,0.023494625,0.014084381
10,4,8,32,single_source_M,dropout,14,0.005222249,0.0021719122,0.0101581095,0.011281786
10,4,8,32,single_source_M,dropout,15,0.0052295686,0.0018325404,0.022543967,0.0049635447
10,4,8,32,single_source_M,dropout,16,0.0052482365,0.001993231,0.041785,0.028673513
10,4,8,32,single_source_M,dropout,17,0.0064048646,0.0024314814,0.020208001,0.008152169
10,4,8,32,single_source_M,dropout,18,0.0068419697,0.0027983754,0.051509105,0.02770791
10,4,8,32,single_source_M,dropout,19,0.007996214,0.0034795583,0.024896478,0.017513994
