D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,4,16,stochastic_depth,dropout,7,0.0031624795,0.0017225203,0.028938865,0.01581296
10,4,4,16,stochastic_depth,dropout,8,0.0037523985,0.0022600952,0.039427876,0.027870985
10,4,4,16,stochastic_depth,dropout,9,0.004189551,0.0029947644,0.04408784,0.023083173
10,4,4,16,stochastic_depth,dropout,10,0.004151511,0.0036678975,0.056419134,0.032998644
10,4,4,16,stochastic_depth,dropout,11,0.004603875,0.0036518844,0.042963922,0.020044345
10,4,4,16,stochastic_depth,dropout,12,0.0066336514,0.002552328,0.048778035,0.038439933
10,4,4,16,stochastic_depth,dropout,13,0.008243668,0.00238854,0.061149288,0.029145723
10,4,4,16,stochastic_depth,dropout,14,0.00928204,0.0031875018,0.0890065,0.025946407
10,4,4,16,stochastic_depth,dropout,15,0.011118794,0.0032608118,0.028208207,0.034548797
10,4,4,16,stochastic_depth,dropout,16,0.0145583395,0.0029025697,0.05597254,0.01519403
10,4,4,16,stochastic_depth,dropout,17,0.017148733,0.00300649,0.06511208,0.026979875
10,4,4,16,stochastic_depth,dropout,18,0.01947329,0.003579045,0.059575677,0.036185246
10,4,4,16,stochastic_depth,dropout,19,0.022028565,0.0046708207,0.06571094,0.059461802
10,4,4,16,stochastic_depth,dropout,20,0.023929786,0.004412304,0.08140918,0.05521529
10,4,4,16,stochastic_depth,dropout,21,0.0277174,0.0055010226,0.03448068,0.04283798
10,4,4,16,stochastic_depth,dropout,22,0.0312847,0.006228192,0.05140966,0.0417099
10,4,4,16,stochastic_depth,dropout,23,0.036304068,0.008040178,0.03684243,0.032009248
10,4,4,16,stochastic_depth,dropout,24,0.041703593,0.010625422,0.09838877,0.03782104
10,4,4,16,stochastic_depth,dropout,25,0.047260027,0.010825765,0.047195863,0.033470415
10,4,4,16,stochastic_depth,dropout,26,0.052986037,0.010743459,0.055689085,0.051808354
10,4,4,16,stochastic_depth,dropout,27,0.05927863,0.009138403,0.10599408,0.098847836
10,4,4,16,stochastic_depth,dropout,28,0.06412235,0.009385762,0.09109924,0.10751648
10,4,4,16,stochastic_depth,dropout,29,0.07036207,0.009052315,0.09162953,0.07122533
10,4,4,16,stochastic_depth,dropout,30,0.07512326,0.0091060875,0.0600662,0.0193629
10,4,4,16,stochastic_depth,dropout,31,0.07970749,0.005530453,0.14401683,0.08638904
10,4,4,16,stochastic_depth,dropout,32,0.08388715,0.0060952227,0.051707864,0.008516253
10,4,4,16,stochastic_depth,dropout,33,0.088735566,0.004315168,0.254942,0.07012006
10,4,4,16,stochastic_depth,dropout,34,0.088219896,0.010641432,0.12286661,0.081843585
10,4,4,16,stochastic_depth,dropout,35,0.09097135,0.008543695,0.05351267,0.034969583
10,4,4,16,stochastic_depth,dropout,36,0.09088525,0.011952042,0.10905769,0.078845136
10,4,4,16,stochastic_depth,dropout,37,0.092747696,0.012752935,0.12195923,0.079002716
10,4,4,16,stochastic_depth,dropout,38,0.08807804,0.012512739,0.07835643,0.06330177
10,4,4,16,stochastic_depth,dropout,39,0.08495428,0.01378576,0.13920532,0.08837712
10,4,4,16,stochastic_depth,dropout,40,0.08516942,0.0148733035,0.20093803,0.1079272
10,4,4,16,stochastic_depth,dropout,41,0.08688329,0.014635578,0.12353337,0.082437165
10,4,4,16,stochastic_depth,dropout,42,0.088189974,0.01394823,0.1337612,0.11930812
10,4,4,16,stochastic_depth,dropout,43,0.08580312,0.014109325,0.22071633,0.07569002
10,4,4,16,stochastic_depth,dropout,44,0.08536564,0.014299602,0.21892452,0.17806706
10,4,4,16,stochastic_depth,dropout,45,0.08397883,0.011998532,0.12502356,0.1258537
10,4,4,16,stochastic_depth,dropout,46,0.06575417,0.017801018,0.065820105,0.035865203
10,4,4,16,stochastic_depth,dropout,47,0.06547625,0.013771236,0.12009592,0.11355851
10,4,4,16,stochastic_depth,dropout,48,0.07536366,0.012899442,0.09478676,0.08222643
10,4,4,16,stochastic_depth,dropout,49,0.07109005,0.011522144,0.08913524,0.06708403
10,4,4,16,single_source_M,dropout,0,0.00023591518,0.00019583607,0.017808665,0.009365271
10,4,4,16,single_source_M,dropout,1,0.00069803,0.00028137412,0.012438488,0.006862409
10,4,4,16,single_source_M,dropout,2,0.00083534716,0.00048142867,0.025310565,0.010200515
10,4,4,16,single_source_M,dropout,3,0.0010726213,0.0008152226,0.044143666,0.008851101
10,4,4,16,single_source_M,dropout,4,0.0009543419,0.00073272473,0.03452592,0.019634264
10,4,4,16,single_source_M,dropout,5,0.0014189363,0.00090468343,0.025350487,0.018363213
10,4,4,16,single_source_M,dropout,6,0.0014773011,0.0007790066,0.025268447,0.011645191
10,4,4,16,single_source_M,dropout,7,0.0015894293,0.00088415673,0.033659197,0.028778678
10,4,4,16,single_source_M,dropout,8,0.0016063452,0.00094860885,0.03782954,0.019992206
10,4,4,16,single_source_M,dropout,9,0.0020081042,0.00078325334,0.02911458,0.018083956
10,4,4,16,single_source_M,dropout,10,0.0025775195,0.0011883719,0.040438533,0.025248125
10,4,4,16,single_source_M,dropout,11,0.003025341,0.0016129451,0.03045026,0.039512902
10,4,4,16,single_source_M,dropout,12,0.004134989,0.0017239996,0.03833189,0.02131143
10,4,4,16,single_source_M,dropout,13,0.004852927,0.0016901419,0.06277069,0.02027054
10,4,4,16,single_source_M,dropout,14,0.005543387,0.0029530262,0.05809325,0.021368342
10,4,4,16,single_source_M,dropout,15,0.006310654,0.0033520567,0.047751248,0.014734316
10,4,4,16,single_source_M,dropout,16,0.0070528626,0.0035817374,0.04072212,0.012551165
10,4,4,16,single_source_M,dropout,17,0.0075055123,0.0040365024,0.05513805,0.02383791
10,4,4,16,single_source_M,dropout,18,0.008508909,0.004536378,0.059769236,0.045854736
10,4,4,16,single_source_M,dropout,19,0.009084487,0.004739365,0.05825125,0.036213394
10,4,4,16,single_source_M,dropout,20,0.010751009,0.005578703,0.044660114,0.027296415
10,4,4,16,single_source_M,dropout,21,0.011889624,0.005693777,0.09135828,0.04055812
10,4,4,16,single_source_M,dropout,22,0.013127697,0.0056925793,0.078631595,0.034535643
10,4,4,16,single_source_M,dropout,23,0.014089728,0.00692554,0.075560875,0.03454871
10,4,4,16,single_source_M,dropout,24,0.016327465,0.0054817586,0.09286992,0.024934163
10,4,4,16,single_source_M,dropout,25,0.018031145,0.006191326,0.08601689,0.041992094
10,4,4,16,single_source_M,dropout,26,0.02034508,0.0056682876,0.07920874,0.042192493
10,4,4,16,single_source_M,dropout,27,0.02363106,0.007609631,0.08033285,0.02363759
10,4,4,16,single_source_M,dropout,28,0.032676626,0.010101819,0.102960184,0.03032277
10,4,4,16,single_source_M,dropout,29,0.035778493,0.011433233,0.11529212,0.08951056
10,4,4,16,single_source_M,dropout,30,0.041837543,0.01223668,0.11010282,0.050840773
10,4,4,16,single_source_M,dropout,31,0.04444005,0.011927971,0.12454281,0.071270406
10,4,4,16,single_source_M,dropout,32,0.047638655,0.009438954,0.08287069,0.038954873
10,4,4,16,single_source_M,dropout,33,0.05230698,0.011301674,0.114107266,0.049904387
10,4,4,16,single_source_M,dropout,34,0.05603228,0.0118264,0.06032914,0.05071339
10,4,4,16,single_source_M,dropout,35,0.06355083,0.014387364,0.076389946,0.024305837
10,4,4,16,single_source_M,dropout,36,0.06523183,0.0118803475,0.10622563,0.09259751
10,4,4,16,single_source_M,dropout,37,0.07256363,0.020111201,0.0729046,0.07022089
10,4,4,16,single_source_M,dropout,38,0.07054521,0.019274646,0.17820206,0.090134166
10,4,4,16,single_source_M,dropout,39,0.0700617,0.018182203,0.11969523,0.14349115
10,4,4,16,single_source_M,dropout,40,0.06867444,0.014012053,0.12426641,0.08088816
10,4,4,16,single_source_M,dropout,41,0.06773599,0.010760271,0.09192036,0.080756895
10,4,4,16,single_source_M,dropout,42,0.06460272,0.0073336144,0.107056476,0.123968475
10,4,4,16,single_source_M,dropout,43,0.06150646,0.010366274,0.08289896,0.06644813
10,4,4,16,single_source_M,dropout,44,0.06297217,0.011177297,0.17252423,0.12677391
10,4,4,16,single_source_M,dropout,45,0.0643646,0.01372891,0.24148448,0.119135335
10,4,4,16,single_source_M,dropout,46,0.056551438,0.01080013,0.16330312,0.09017049
10,4,4,16,single_source_M,dropout,47,0.059855014,0.021807533,0.10782446,0.06792025
10,4,4,16,single_source_M,dropout,48,0.0568209,0.022974445,0.142807,0.13276757
10,4,4,16,single_source_M,dropout,49,0.055016093,0.022761455,0.14338829,0.10508128
10,4,8,32,full_unit_dropout,dropout,0,0.00035936834,0.00033325155,0.015944373,0.013288108
10,4,8,32,full_unit_dropout,dropout,1,0.00060180423,0.00042642275,0.01368885,0.0071863267
10,4,8,32,full_unit_dropout,dropout,2,0.0008445859,0.00080688705,0.016504835,0.0048043737
10,4,8,32,full_unit_dropout,dropout,3,0.0009735465,0.0008331966,0.010009277,0.006532973
10,4,8,32,full_unit_dropout,dropout,4,0.0012627363,0.00087167474,0.015506173,0.009708864
10,4,8,32,full_unit_dropout,dropout,5,0.0016241908,0.0013753122,0.017079294,0.015415755
10,4,8,32,full_unit_dropout,dropout,6,0.0018664241,0.001044361,0.013820088,0.005645683
10,4,8,32,full_unit_dropout,dropout,7,0.0019633411,0.0011436247,0.008870614,0.0047905296
10,4,8,32,full_unit_dropout,dropout,8,0.0026406883,0.0008592072,0.011202824,0.009364463
10,4,8,32,full_unit_dropout,dropout,9,0.0028082014,0.0012095096,0.022023689,0.011001989
10,4,8,32,full_unit_dropout,dropout,10,0.0034011602,0.001380441,0.03875806,0.012732388
10,4,8,32,full_unit_dropout,dropout,11,0.0045496104,0.0008726431,0.02625848,0.025408965
10,4,8,32,full_unit_dropout,dropout,12,0.0045353053,0.0015626164,0.02203033,0.0144261755
10,4,8,32,full_unit_dropout,dropout,13,0.0042696954,0.0013892312,0.017032098,0.013831959
10,4,8,32,full_unit_dropout,dropout,14,0.0055033443,0.0025321965,0.029599667,0.014046477
