D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,4,4,16,full_unit_dropout,dropout,1.8215061,0.1447104,1.2159064,0.16626512,0.51982653,0.09708462
10,4,4,16,stochastic_depth,dropout,1.9021466,0.07409919,1.2993437,0.08188004,0.6052829,0.06474178
10,4,4,16,single_source_M,dropout,1.7591171,0.050444495,1.4081289,0.14300218,0.6115854,0.049818117
10,4,8,32,full_unit_dropout,dropout,1.4805686,0.21610275,1.0351129,0.15349074,0.33956486,0.059659988
10,4,8,32,stochastic_depth,dropout,1.6625073,0.12072027,1.4021883,0.22848943,0.56827366,0.10509128
10,4,8,32,single_source_M,dropout,1.6866348,0.088736326,1.1937449,0.11098895,0.48038644,0.06305854
